Level,Parent Cluster ID,Cluster ID,Examples,Label,Top Service Types
Top-level,,0,1451,Facility Booking,"One time room booking (334), Room booking (301), One time marina booking (273)"
Top-level,,1,5079,Curbside Collection Info,"No collection - recycling (1886), Curbside collection acceptable items (1553), Holiday curbside collection schedule (609)"
Top-level,,2,6981,Parking Permits & Policy,"Parking exemption (6649), Parking policy inquiry (311), Accessible parking (request for new) (21)"
Top-level,,3,3349,Parking Meter Issues,"Meter not accepting coin (892), Meter not printing receipt (730), Meter transaction error message (435)"
Top-level,,4,3061,Roadside Maintenance,"Road kill (734), Debris on road (349), Roadside grass cutting (328)"
Top-level,,5,2678,Hazardous Waste Disposal,"KARC depot (988), Residential HHW (732), Household hazardous waste depot (695)"
Top-level,,6,2008,Tree & Stump Service,"Tree trimming (1053), Tree removal (707), Stump removal (134)"
Top-level,,7,1714,Waste Bin Replacement,"New, broken or lost recycle box pick up (1072), New, broken or lost green bin pick up (642)"
Top-level,,8,3844,Building Permits & Inspections,"New construction, addition and alteration permit (748), DASH (556), Building inspections (244)"
Top-level,,9,2462,Road & Drainage Repair,"Pothole (1566), Road flooding or drainage issue (301), Culvert (246)"
Top-level,,10,5071,Missed Waste Collection,No collection (5071)
Top-level,,11,3461,Transit Info & Planning,"Transit schedule time (1573), Transit route planning (525), Website trip planner (326)"
Top-level,,12,1286,Arena Booking,"Arena booking (555), One time arena booking (529), Partner group arena booking (110)"
Top-level,,13,413,Transit Maintenance Request,"Damage / maintenance at transit stop (222), Transit stop question (65), Damage / maintenance to bus (47)"
Top-level,,14,1794,Traffic & Pedestrian Safety,"Traffic calming (458), Traffic or transportation inquiry (317), Pedestrian safety concern or crossing inquiry (237)"
Top-level,,15,1611,Account & Membership Services,"Refunds or cancellations (917), Memberships (536), Account management (158)"
Top-level,,16,1819,Sign & Pathway Repair,"Sign repair and replacement / change (892), General repairs - sidewalk / walkway / pathway (363), New sign installment (348)"
Top-level,,17,963,General City Inquiries,"Other municipality notices (395), Committee and board application / recruitment inquiry (61), Illuminations (57)"
Top-level,,18,1964,Snow Plowing & Removal,"Sidewalk snow plowing (500), Road snow plowing (444), Road snow removal (268)"
Top-level,,19,1620,Illegal Dumping Report,"Roadside illegal dumping pick up (1299), Illegal dumping in park pick up (318), Discharge to storm sewer (3)"
Top-level,,20,1387,Swim Program Registration,"Registered swim (497), Registration inquiries (285), Drop-in swim (180)"
Top-level,,21,6533,Waste Disposal Information,"Large item disposal (960), Bin placement and disposal instructions (845), Yard waste disposal (751)"
Top-level,,22,1927,City Tree Management,"Tree assessment (1142), New tree on City property (244), Replacement tree on City property (177)"
Top-level,,23,2140,Missed Garbage Collection,No collection - garbage / green bin - bag + bin (2140)
Top-level,,24,3756,Public Amenities Inquiry,"Parking lot and garage information (567), Memorial bench (185), Trails and pathways (180)"
Sub-cluster,0,0,335,Room Booking Request,"Room booking (301), Recurring room booking (23), Partner group room booking (8)"
Sub-cluster,0,1,273,Marina Booking Request,One time marina booking (273)
Sub-cluster,0,2,2,Wedding Venue Booking,Memorial Hall wedding booking (2)
Sub-cluster,0,3,334,One-Time Room Booking,One time room booking (334)
Sub-cluster,0,4,185,Seasonal Marina Services,"Seasonal marina booking (183), Marina haul out and launch (1), Marina booking (1)"
Sub-cluster,0,5,83,Pool Booking Request,"Pool booking (45), One time pool booking (29), School group pool booking (7)"
Sub-cluster,0,6,183,Sportsfield Booking Request,"One time sportsfield booking (82), Sportsfield booking (64), School group sportsfield booking (14)"
Sub-cluster,0,7,36,City Hall Room Booking,City Hall meeting room booking (36)
Sub-cluster,0,8,20,Birthday Pool Booking,Birthday party pool booking (20)
Sub-cluster,0,9,0,EMPTY,
Sub-cluster,1,0,1553,Curbside Acceptable Items,Curbside collection acceptable items (1553)
Sub-cluster,1,1,1886,Missed Recycling Collection,No collection - recycling (1886)
Sub-cluster,1,2,455,Regular Collection Schedule,Regular curbside collection schedule (455)
Sub-cluster,1,3,609,Holiday Collection Schedule,Holiday curbside collection schedule (609)
Sub-cluster,1,4,148,Toter Replacement Request,Toter replacement (148)
Sub-cluster,1,5,105,Curbside Program Info,"Curbside notifications (104), Curbside audits (1)"
Sub-cluster,1,6,135,Sidewalk Waste Services,"Sidewalk garbage collection (65), New sidewalk garbage / recycling bin (46), Sidewalk recycling depot graffiti removal (15)"
Sub-cluster,1,7,52,New Toter Request,Toter request for new (52)
Sub-cluster,1,8,70,Commercial Recycling Program,"Commercial recycling program (40), Apartment recycling program (30)"
Sub-cluster,1,9,66,Toter Repair Request,Toter repair (66)
Sub-cluster,2,0,6568,Parking Exemption Request,Parking exemption (6568)
Sub-cluster,2,1,311,Parking Policy Inquiry,Parking policy inquiry (311)
Sub-cluster,2,2,81,Parking Exemption Inquiry,Parking exemption (81)
Sub-cluster,2,3,0,EMPTY,
Sub-cluster,2,4,0,EMPTY,
Sub-cluster,2,5,0,EMPTY,
Sub-cluster,2,6,0,EMPTY,
Sub-cluster,2,7,0,EMPTY,
Sub-cluster,2,8,21,Accessible Parking Request,Accessible parking (request for new) (21)
Sub-cluster,2,9,0,EMPTY,
Sub-cluster,3,0,730,Meter Receipt Issue,Meter not printing receipt (730)
Sub-cluster,3,1,435,Meter Transaction Error,Meter transaction error message (435)
Sub-cluster,3,2,892,Meter Coin Issue,Meter not accepting coin (892)
Sub-cluster,3,3,138,Frozen Parking Meter,Meter frozen (138)
Sub-cluster,3,4,333,Parking Meter Malfunction,"Meter not accepting card (330), Meter malfunction (3)"
Sub-cluster,3,5,287,Meter Payment Inquiry,Meter payment investigation (287)
Sub-cluster,3,6,261,Meter Display Problem,Meter time display problem (261)
Sub-cluster,3,7,155,Parking Meter Info,Meter information (155)
Sub-cluster,3,8,89,Parking Meter Vandalism,Meter vandalism (89)
Sub-cluster,3,9,29,Meter Card Stuck,Meter credit card stuck (29)
Sub-cluster,4,0,454,Roadside Vegetation Control,"Roadside grass cutting (328), Roadside brushing - overgrowth (86), Civic blade (38)"
Sub-cluster,4,1,501,Road Debris Removal,"Debris on road (349), Barricades / pylons (85), Debris on road from construction site (46)"
Sub-cluster,4,2,734,Roadkill Removal,Road kill (734)
Sub-cluster,4,3,260,Street Sweeping Request,Street sweeping (260)
Sub-cluster,4,4,397,Road Paving Request,"Minor road paving (226), Road or lane closure (92), Large scale road paving (73)"
Sub-cluster,4,5,114,Sidewalk Vegetation Trimming,Hedge or branch trimming along sidewalk (114)
Sub-cluster,4,6,103,Road Line Painting,"Line painting (101), Damage or vandalism to public art (2)"
Sub-cluster,4,7,95,Road Shoulder Maintenance,Road shoulder (95)
Sub-cluster,4,8,297,Active Transportation Maintenance,"Cleaning - sidewalk and walkway (149), Curb maintenance (92), Bicycle lane maintenance (36)"
Sub-cluster,4,9,106,Noxious Weed Control,Roadside noxious weeds (106)
Sub-cluster,5,0,698,HHW Depot Services,"Household hazardous waste depot (695), Chemical / hazardous waste container (3)"
Sub-cluster,5,1,982,KARC Depot Services,KARC depot (982)
Sub-cluster,5,2,732,Residential HHW Disposal,Residential HHW (732)
Sub-cluster,5,3,164,Residential E-waste Disposal,Residential electronic equipment (164)
Sub-cluster,5,4,6,KARC Depot Services,KARC depot (6)
Sub-cluster,5,5,47,HHW Disposal Request,Household hazardous waste (HHW) disposal (47)
Sub-cluster,5,6,39,Commercial HHW Disposal,Commercial HHW (39)
Sub-cluster,5,7,0,EMPTY,
Sub-cluster,5,8,10,KARC Facility Tours,KARC tours (10)
Sub-cluster,5,9,0,EMPTY,
Sub-cluster,6,0,0,EMPTY,
Sub-cluster,6,1,359,Tree Removal Request,Tree removal (359)
Sub-cluster,6,2,114,Yard Waste Pickup,"Brush pick up (113), Leaf raking / pick up (1)"
Sub-cluster,6,3,3,Stump Removal Request,Stump removal (3)
Sub-cluster,6,4,0,EMPTY,
Sub-cluster,6,5,345,Tree Removal Request,Tree removal (345)
Sub-cluster,6,6,3,Tree Removal Request,Tree removal (3)
Sub-cluster,6,7,1053,Tree Trimming Request,Tree trimming (1053)
Sub-cluster,6,8,131,Stump Removal Request,Stump removal (131)
Sub-cluster,6,9,0,EMPTY,
Sub-cluster,7,0,1050,Recycle Box Request,"New, broken or lost recycle box pick up (1050)"
Sub-cluster,7,1,633,Green Bin Request,"New, broken or lost green bin pick up (633)"
Sub-cluster,7,2,0,EMPTY,
Sub-cluster,7,3,0,EMPTY,
Sub-cluster,7,4,0,EMPTY,
Sub-cluster,7,5,9,Green Bin Request,"New, broken or lost green bin pick up (9)"
Sub-cluster,7,6,0,EMPTY,
Sub-cluster,7,7,0,EMPTY,
Sub-cluster,7,8,22,Recycle Box Request,"New, broken or lost recycle box pick up (22)"
Sub-cluster,7,9,0,EMPTY,
Sub-cluster,8,0,748,Building Permit Application,"New construction, addition and alteration permit (748)"
Sub-cluster,8,1,313,Building Inspection Inquiry,"Building inspections (244), General building inquiry (60), Environmental inspection (9)"
Sub-cluster,8,2,556,DASH Program Inquiry,DASH (556)
